,code,Mean-Peak,Mean-SD,SD-X,SD-Y,Mean-X,Mean-y
133,"[71, 73]",19.581042,4.903968,0.026087,0.124213,1445.039551,1417.632579
134,"[71, 74]",13.648146,10.836864,0.329467,0.147900,1445.395106,1417.656267
135,"[58, 46, 67]",19.035272,3.848587,0.145061,0.123393,726.033346,1393.122328
136,"[71, 57]",20.412196,4.043427,0.083167,0.034762,1019.467268,1928.244967
137,"[58, 67, 46]",19.483878,3.503290,0.029342,0.084865,701.787642,1447.094250
138,"[72, 65, 60, 53]",14.533226,8.088047,0.086567,0.171865,209.400820,174.160849
139,"[64, 61, 77, 49]",16.042959,7.351499,0.015425,0.170856,427.874608,74.599842
140,"[60, 72, 65]",16.574380,5.697718,0.226851,0.161007,994.605062,400.869578
141,"[69, 60, 48]",14.621007,8.913478,0.078650,0.111299,1736.344169,498.074539
142,"[47, 63, 79, 57]",18.799263,4.124049,0.086613,0.055371,2009.532857,1970.608959
143,"[58, 67, 78]",11.359111,9.492823,0.131224,0.313013,619.124819,1930.507281
144,"[75, 68]",19.228311,5.050486,0.047495,0.061310,1029.193780,1846.482501
145,"[47, 79]",15.980943,8.289820,0.232412,0.094773,180.218576,1181.902752
146,"[47, 65, 61]",16.450445,5.795478,0.100791,0.076222,714.425188,1382.069075
147,"[58, 65, 72, 49]",13.337917,8.549814,0.261290,0.161795,1406.390024,857.169239
148,"[58, 69]",19.816071,4.403717,0.051690,0.118948,773.880708,263.524511
149,"[63, 57]",28.903386,4.717234,0.015924,0.047632,1493.787932,1925.983208
150,"[51, 79]",15.644258,8.488641,0.137187,0.424012,205.022940,981.332720
151,"[57, 63, 76]",18.035927,4.689803,0.165727,0.015534,768.671480,677.842974
152,"[47, 63, 57, 79]",13.073265,7.296125,0.080900,0.077841,678.153286,696.256656
153,"[58, 74, 46]",20.882073,3.026870,0.064966,0.103683,1853.420236,1506.822106
154,"[63, 46, 55, 76]",18.327090,4.652022,0.110859,0.058734,1790.652681,1844.261499
155,"[65, 77, 48]",16.145025,10.750760,0.345243,0.175856,852.687949,1012.981717
156,"[55, 72]",20.789795,3.112842,0.023258,0.096925,1119.473506,1886.817162
157,"[66, 79, 55, 45]",16.862147,9.015470,0.137243,0.482387,1540.434080,1345.284530
158,"[65, 79, 52]",12.162907,8.312911,0.256250,0.311898,396.755806,1907.380979
159,"[55, 73, 65]",14.971674,8.622816,0.087281,0.162226,788.003291,807.495448
160,"[58, 74]",19.354505,4.307457,0.035909,0.040155,175.658169,1365.968374
161,"[79, 61, 71, 53]",10.329207,7.925971,0.186224,0.228710,1715.883019,1805.929008
162,"[79, 61]",15.889987,7.712057,0.097782,0.029162,1715.893728,1805.974697
163,"[56, 80]",21.770197,1.812694,0.004319,0.098869,85.197713,1328.912364
164,"[46, 67]",13.100816,10.479708,0.071205,0.465378,1765.212325,1965.612446
165,"[72, 55]",17.332936,6.223774,0.005961,0.010887,1572.454798,288.134407
166,"[46, 67]",22.690833,0.852771,0.058257,0.079941,220.293615,739.100587
167,"[66, 59, 79]",19.637322,11.418962,0.148161,0.222918,1470.884108,1369.683552
168,"[71, 79, 61, 53]",16.305054,7.495622,0.191392,0.054720,1196.848906,1071.683437
169,"[69, 57, 79, 50]",11.157507,8.924030,0.143290,0.467860,668.720950,1327.729140
170,"[47, 80]",14.995873,8.463452,0.255486,0.147992,1765.403876,1959.653081
171,"[56, 79, 65]",20.948845,2.888987,0.096640,0.059475,1041.245536,926.952869
